"","id","X","MAXAvg","MINAvg","RainAvg","Date","Time","RunDate","Metabolites.Conc","RankProp","Sex","Group.1","Coping","SWDIgr","Strg","Deg"
"99","ct",99,30.3,8.6,0,"2019-01-30","08:17:00","1-Oct",92.21095335,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"100","ct",100,29.9,12.7,0,"2019-01-11","09:56:00","5-Dec",75.8952549,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"101","ct",101,28.07,10.28,0,"2018-08-07","08:10:00","17-Nov",80.89743589,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"102","ct",102,30.75,15.2,8.5,"2018-11-05","08:41:00","21-Nov",231.9841662,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"103","ct",103,32.9,11,0,"2019-04-01","10:28:00","12-Nov",85.75827559,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"104","ct",104,33.4,13.8,4.5,"2019-03-29","08:54:00","12-Nov",131.6997792,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"105","ct",105,30.2,16.7,0,"2018-09-26","11:32:00","17-Nov",157.7418565,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"106","ds",106,29.55,10.4,0,"2019-01-25","09:24:00","1-Oct",105.2068696,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"107","ds",107,28.605,11.83,0,"2019-01-17","09:20:00","15-Nov",86.36037057,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"108","ds",108,28.25,8.65,0,"2018-12-27","09:43:00","4-Dec",77.58591911,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"109","ds",109,30.95,8.65,0,"2019-03-01","08:00:00","8-Nov",59.77096417,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"110","ds",110,28.2,12.1,0,"2018-12-23","11:49:00","16-Nov",150.8723174,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"111","ds",111,29.7,10.65,0,"2019-01-12","08:44:00","5-Dec",62.41400159,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"112","ds",112,29.4,21.3,0,"2018-10-15","11:08:00","19-Nov",70.04551539,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"113","ds",113,28.15,13.6,3.5,"2018-12-06","08:05:00","22-Nov",88.29389787,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"114","ds",114,28.095,12.04,0,"2018-08-08","11:59:00","17-Nov",92.94390356,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
"115","ds",115,28.83,14.05,0.381,"2018-09-03","08:45:00","16-Nov",209.0998767,0.177704663,"M","K",-0.764303682,1.04781180072813,15.2468810344837,4
